Brew_ID,Name,City,State
471,Pete's Brewing Company,San Antonio, TX
160,Uinta Brewing Company,Salt Lake City, UT
303,Utah Brewers Cooperative,Salt Lake City, UT
365,Bohemian Brewery,Midvale, UT
400,Moab Brewery,Moab, UT
51,Flying Mouse Brewery,Troutville, VA
116,Smartmouth Brewing Company,Norfolk, VA
123,Center of the Universe Brewing C...,Ashland, VA
182,Wild Wolf Brewing Company,Nellysford, VA
237,Champion Brewing Company,Charlottesville, VA
238,Devil's Backbone Brewing Company,Lexington, VA
274,Three Notch'd Brewing Company,Charlottesville, VA
307,Beach Brewing Company,Virginia Beach, VA
344,Hardywood Park Craft Brewery,Richmond, VA
345,Wolf Hills Brewing Company,Abingdon, VA
383,Blue Mountain Brewery,Afton, VA
384,Starr Hill Brewery,Crozet, VA
415,Blue Mountain Brewery,Arrington, VA
428,Roanoke Railhouse Brewery,Roanoke, VA
431,Lost Rhino Brewing Company,Ashburn, VA
456,Sunken City Brewing Company,Hardy, VA
42,Lost Nation Brewing,East Fairfield, VT
173,Fiddlehead Brewing Company,Shelburne, VT
262,Otter Creek Brewing,Waterbury, VT
269,Long Trail Brewing Company,Bridgewater Corners, VT
273,The Alchemist,Waterbury, VT
276,Otter Creek Brewing,Middlebury, VT
304,Magic Hat Brewing Company,South Burlington, VT
329,The Just Beer Project,Burlington, VT
335,The Traveler Beer Company,Burlington, VT
502,Woodchuck Hard Cider,Middlebury, VT
171,Everybody's Brewing,White Salmon, WA
191,Two Beers Brewing Company,Seattle, WA
291,Hale's Ales,Seattle, WA
312,Dirty Bucket Brewing Company,Woodinville, WA
320,Dick's Brewing Company,Centralia, WA
354,Aslan Brewing Company,Bellingham, WA
355,Kulshan Brewery,Bellingham, WA
363,Hilliard's Beer,Seattle, WA
368,Airways Brewing Company,Kent, WA
391,Orlison Brewing Company,Airway Heights, WA
395,Schilling & Company,Seattle, WA
402,Amnesia Brewing Company,Washougal, WA
412,Seattle Cider Company,Seattle, WA
451,Northwest Brewing Company,Pacific, WA
461,Fremont Brewing Company,Seattle, WA
474,Engine House 9,Tacoma, WA
482,7 Seas Brewing Company,Gig Harbor, WA
484,Bale Breaker Brewing Company,Yakima, WA
488,Redhook Brewery,Woodinville, WA
510,Wingman Brewers,Tacoma, WA
517,Emerald City Beer Company,Seattle, WA
527,Churchkey Can Company,Seattle, WA
545,Pyramid Breweries,Seattle, WA
33,James Page Brewing Company,Stevens Point, WI
74,Ale Asylum,Madison, WI
121,Horny Goat Brew Pub,Milwaukee, WI
132,Stevens Point Brewery,Stevens Point, WI
135,Minhas Craft Brewery,Monroe, WI
147,Angry Minnow,Hayward, WI
193,Capital Brewery,Middleton, WI
212,Wisconsin Brewing Company,Verona, WI
229,Geneva Lake Brewing Company,Lake Geneva, WI
285,Milwaukee Brewing Company,Milwaukee, WI
350,Hinterland Brewery,Green Bay, WI
378,Lucette Brewing Company,Menominee, WI
407,Lazy Monk Brewing,Eau Claire, WI
426,Ciderboys,Stevens Point, WI
457,Lucette Brewing Company,Menominie, WI
487,Stillmank Beer Company,Green Bay, WI
499,Sprecher Brewing Company,Glendale, WI
530,Northwoods Brewpub,Eau Claire, WI
543,Angry Minnow Brewing Company,Hayward, WI
555,Dave's Brewfarm,Wilson, WI
157,Greenbrier Valley Brewing Company,Lewisburg, WV
80,Black Tooth Brewing Company,Sheridan, WY
192,Snake River Brewing Company,Jackson, WY
458,The Black Tooth Brewing Company,Sheridan, WY
551,Wind River Brewing Company,Pinedale, WY
